product_id,units_sold,total_sales,cogs,manufacturer,drug
156,89514,3130097,3427421.73,Biogen,Acyclovir
25,222331,2753546,2974975.36,AbbVie,Lamivudine and Zidovudine
50,90484,2521023.73,2742445.9,Eli Lilly,Dermasorb TA Complete Kit
41,189925,3499574.92,3692136.66,AbbVie,Clarithromycin
63,93513,2104765,2462370.76,Johnson & Johnson,Pepcid AC Acid Reducer
8,177270,2930134.52,3035522.06,Johnson & Johnson,Nicorobin Clean and Clear
75,164674,1184664.57,1285326.93,Eli Lilly,RED GINSENG FERMENTED ESSENCE BB
91,97765,1115255.32,1201044.27,Roche,Hydrochlorothiazide
26,126866,1499768.09,1573992.41,Eli Lilly,LBel
16,51707,1304837.86,1378790.53,Roche,Topcare Tussin
80,61467,3740527.69,3804542.2,Biogen,Losartan Potassium
148,104637,837620.18,931084.25,Johnson & Johnson,Motrin
95,128494,723841.23,779520.88,Biogen,Wal-Zan
56,86598,1755300.92,1806344.97,Eli Lilly,Spot Repairing Serum
71,126265,2564743.39,2593528.67,Bayer,ENALAPRIL MALEATE
35,87449,86938.27,99811.26,Johnson & Johnson,Sanitary Wipes Plus
70,167190,1119479.36,1313174.69,Johnson & Johnson,Zyrtec Ultra-Strength
15,118901,2717420.96,2707620.02,Biogen,Clotrimazole
33,149895,949514.05,921206.75,Bayer,Levofloxacin
179,125006,1825970,1769907.97,Biogen,Lancome Paris Renergie Lift Volumetry
21,50550,697276.33,640063.57,Pfizer,Venlafaxine Hydrochloride
125,101102,566696,508144.71,AbbVie,Lidocaine Hydrochloride and Epinephri
76,87699,3257976.38,3389863.82,Johnson & Johnson,EltaMD SPF 150 Sun Screen
136,144814,1084258,1006447.73,Biogen,Burkhart
34,94698,600997.19,521182.16,AstraZeneca,Surmontil
61,77023,500101.61,419174.97,Biogen,Varicose Relief
9,37410,293452.54,208876.01,Eli Lilly,Zyprexa
67,87756,1112253.82,1021908.39,Biogen,Pramipexole Dihydrochloride
105,97736,537795,426539.59,Pfizer,Diaper Rash Skin Protectant Crema Cer
107,160617,2538701.5,2414037.51,Biogen,N - TIME SINUS
89,61832,1084996.13,940593.68,Sanofi,Locoid
30,142661,1615518.35,1439533.27,Sanofi,Oxaprozin
47,130448,461623.76,282038.76,Eli Lilly,Night Time Cherry Syrup
146,71159,1778024,1598276.66,AstraZeneca,PDI Sani-Hands for Kids
52,47310,1151498.6,956693.99,AstraZeneca,Armour Thyroid
183,155058,1220029.58,1023275.76,AbbVie,Lexapro
113,122655,1358711.57,1161623.36,Novartis,Famotidine
29,217652,3106931.54,2898165.87,AstraZeneca,MiraLAX
171,177686,632705.44,413382.39,AstraZeneca,lansoprazole
2,284705,523311.9,302721.56,Novartis,Imatinib
126,165665,586961.45,365016.1,AbbVie,Hamamelis Virginiana Kit Refill
122,187110,681903.65,458208.23,GlaxoSmithKline,eszopiclone
144,110672,841911.12,616632.58,Bayer,Acyclovir Sodium
14,55657,933692.06,707891.52,Bayer,Triple Complex Brain Tonic
97,128893,1114438.97,887895.38,AbbVie,Sodium Iodide I 123
111,152231,2708053.52,2467067.02,Eli Lilly,Divalproex Sodium
31,94969,1104640.13,848011.39,Biogen,Orsythia
51,95572,2582349,2322161.57,Pfizer,Methadone Hydrochloride
181,104441,1045454.54,772824.85,Merck,FLU KIDS RELIEF
135,160565,2524229,2249571,Bayer,Meloxicam
22,143516,3147031.19,2864248.62,Sanofi,Synthroid
37,232228,507628.5,212607.07,Johnson & Johnson,Hand wash
154,96249,1408872.02,1105672.68,Eli Lilly,Potassium Chloride in Dextrose and So
59,215282,3059122.36,2755697.86,Johnson & Johnson,Common Sagebrush
81,117947,1559816,1233306.52,Merck,DHEA
3,192608,2851411.66,2522812.85,Eli Lilly,Treflan
53,121093,1460189.98,1124982.66,Biogen,Active-Medicated specimen collection
160,97520,1415772.18,1067854.28,AbbVie,Olay Total Effects Pore Minimizing CC
46,189293,1528747.03,1172798.04,Pfizer,Stay Awake
85,112969,2996318.23,2614556.03,Bayer,Lovastatin
143,180697,1364046.09,961852.31,Eli Lilly,Western Family Pain Relieving
83,106994,1803199.39,1397575.13,Eli Lilly,IOPE RETIGEN MOISTURE FOUNDATION
165,121043,961716.2,553770.53,Bayer,PROMETHAZINE HYDROCHLORIDE
42,116447,2429913,2002106.22,Biogen,Gelato Topical Anesthetic
157,197527,2204939.12,1749148.23,Biogen,Non Aspirin PM
11,135549,2792775.1,2327541.25,Biogen,AVAPRO
49,95307,700562.13,221803.73,Biogen,Brucella Remedy
115,102792,821214.25,321027.88,Pfizer,Methylphenidate Hydrochloride
18,58580,1342015.48,838168.71,AstraZeneca,Enalapril Maleate
119,214488,657085.12,152614.97,Johnson & Johnson,Hand Sanitizer with Moisturizers
137,128175,822716.26,316753.86,AbbVie,Warfarin Sodium
169,95653,1270441.66,757724.19,Eli Lilly,Multi Symptom Cold
164,89816,1080726.88,565920.33,Biogen,RED ORANGE SUN
117,191289,778332.7,256621.14,Bayer,Diphenhydramine HCL
106,103889,1698544.77,1164637.24,Roche,Crab
120,148170,1094440.19,560320.28,Bayer,Gabapentin
10,123832,1518343,981993.64,Novartis,Amoxicillin and Clavulanate Potassium
6,64028,1253627.93,715430.59,Bayer,Riociguat
68,109814,1933300.64,1392442.04,Merck,Losartan Potassium
186,150221,3116140.22,2560951.38,Novartis,ANASTROZOLE
139,38522,674397.16,92756.59,Merck,METHOCARBAMOL
100,212506,3091720.63,2509926.79,Pfizer,Ropinirole Hydrochloride
84,174098,2752163,2146503.01,Pfizer,Tranexamic Acid
45,144352,708891.28,95912.97,Roche,Dorzolamide HCl
112,92168,1194250.01,575583.41,Novartis,Alimta
167,186778,904145,240493.13,Biogen,Monistat Complete Care Instant Itch R
28,113370,1379945.1,712265.84,AstraZeneca,Thyroid Assist
188,123956,1658835.03,991099.63,Roche,Nivolumab
94,132362,2041758.41,1373721.7,Biogen,UP and UP
98,110746,813188.82,140422.87,Biogen,Medi-Chord
65,151901,967632.61,278350.32,AbbVie,Moxifloxacin Hydrochloride
124,59167,1033654.77,344270,Bayer,MooreBrand Ibuprofen
23,72264,1892705.42,1202177.41,Roche,Cloves
149,171975,1727624.67,1024897.45,Johnson & Johnson,SunZone Work Sunscreen SPF-60
